P02984|P00646
P0A9A6|P77173
P0A6M8|P0A6P1
P06722|P23367
P0A6A8|P10408
P77804|P77804
P29131|P0AD68
P0A988|P28630
P00363|P0AC47
P28630|P06710
P31697|P08191
Q47112|Q03708
P07014|P0AC41
P11350|P09152
P11350|P11349
P0A7F3|P0A786
P0A6F9|P0A6F5
P08190|P08189
P32705|P32705
O52133|O52132
P0ABG4|P0AD68
O52132|O52132
P31224|P31224
P37636|P37636
P23367|P23367
P23909|P23909
P10408|P0AGA2
P23827|P23827
P06717|P06717
P69783|P69786
P33599|P0AFC7
P69741|P0ACD8
P37637|P31224
P39265|P02925
P76440|P25889
P33599|P33602
P10408|P10408
P00803|P00803
P02931|P02931
P0AE06|P0AE06
P37637|P37637
P02943|P02943
P02930|P02930
P0A910|P0A910
P10384|P10384
P69776|P69776
P0ABH0|P0ABH0
P06136|P06136
P06974|P06974
P08190|P08191
P0AFZ5|P0A9A6
P0AFB5|P0AFB8
P0AFB8|P0AFB8
P0AFB5|P0AFB5
P0A6F5|P0A6F5
P32125|P32125
P12281|P12281
P12281|P0AF03
P0ABL5|P0ABL5
Q46925|Q46925
P0A7B8|P0A7B8
P0A6H5|P0A6H5
P09184|P23367
P03018|P23367
P0A7A7|P0A7A7
P0A6F5|P61889
P10408|P77804
P10408|P39396
P0A940|P11557
P08390|P0A799
P32176|P0AAJ5
P69801|P69805
P69801|P69797
P36938|P0AC53
P0A717|P0A9J6
P0A9M8|P0ACC7
P0ABS1|P0A6W5
P62707|P37689
P26459|P0ABJ9
P0A705|P63284
P0A705|P0AG67
P0A9Y6|P0ACF8
P18335|P36659
P18335|P29745
P77774|P0ACE0
P0A7A7|P62517
P0ABK2|P0ABJ9
P0ABK2|P0ADW3
P0ABA6|P68699
P0ABA6|P0ABA0
P0ADZ7|P0ADZ7
P07117|P07117
P0AAA1|P0AAA1
P0A940|P0A903
P37194|P37194
P0ABG4|P29131
P58034|P0AD68
P0AEN4|P58034
P0AEN4|P0A6S5
P0AD68|P0AEN4
P29131|P0AEN4
P0AD68|P0A6S5
P29131|P0A6S5
P0A6S5|P06136
P0AD68|P06136
P0ABG4|P0A6S5
P0ABG4|P0AEN4
P29131|P06136
P29131|P29131
P06136|P0ABH0
P06136|P0AEN4
P0AC30|P06136
P0AC30|P0ABH0
P29131|P58034
P0A9A6|P0ABH0
P0AD68|P0ABH0
P29131|P0ABH0
P02943|P10408
P00634|P10408
P0A6J5|P0A7E1
P0A6J5|P0ABB0
P0A6J5|P0ABB4
P28635|P75818
P28635|P37194
P0A9D4|P0ABK5
P0A6Y8|P21889
P37330|P07118
P07813|P0A8N3
P0A799|P37689
P0ABH7|P0AD61
P00805|P0A9B2
P0A850|P0A6F5
P0AGD3|P0ABK5
P62707|P0AB71
P0AC38|P0AFB5
P32173|P12281
P32125|P32173
P32125|P0AF03
P32125|P12281
P33934|P0ABL5
P33934|P33934
P0A988|P06710
P30958|P0A8V2
P0A6V5|P0A6F5
P0A6V5|P0A6F9
P36938|P15288
P0A6Y8|P0AG67
P0A6A8|P0AB89
P0A9D8|P60651
P0AF03|P77247
P08390|P77395
P0AD12|P0A8A2
P0AFP6|Q46856
P00350|P15288
P76576|P69407
P0AEZ9|P37194
P0AEZ9|P0AEE1
P0AEZ9|P0ADA5
P0AEZ9|P64596
P0AEZ9|P0ADB1
P0A996|P75691
P0A996|P37647
P77774|P0ABC3
P0C0S1|P0ADK0
P0AFX7|P0AEE3
P77173|P30845
P58034|P06136
P13035|P69908
P13035|P28635
P0A6J5|P0A7R1
P0A6J5|P0A7L0
P0AC47|P0A915
P28635|P69908
P0A6F5|P0AEX9
P0AEX9|P0A6F9
P08622|P0AEX9
P50456|P76346
P0C8J8|P0C8J6
P0A8N5|P15639
P0A8N5|P27302
P07813|P61889
P07813|P0A8G3
P0A799|P0AE08
P0A6P9|P0A6F3
P00350|P22259
P00805|P25553
P11875|P77746
P0A870|P0AEX9
P0A850|P0A6L7
P0AGD3|P04805
P15288|P15254
P39177|P0C8J6
P0A9Z1|P0AFB5
P0AC55|P0AFB5
P0AGF2|Q46925
P0AFZ5|P0A6H5
O52134|P71215
P0A8Q0|P00363
P06717|P32890
P08407|P15319
O52124|Q47184
P0A8Q3|P0AC47
P0A8Q3|P0A8Q0
P0AA04|P08839
P0A8Q3|P00363
P0A988|Q47155
P0A8Q0|P0AC47
P0AAJ3|P24183
P0A6M2|P0AEG4
P07014|P69054
P07014|P0AC44
P13479|P09883
P12282|P30748
P13988|P05846
P06611|P06609
P0AC41|P69054
P0AC41|P0AC44
P69783|P0AA04
P0AA25|P0A9P4
P08189|P08191
P0C0V0|P0C0V0
P0A912|P0A910
P69776|P0A912
P0ABZ1|P0ABZ1
P0AEZ3|P0A734
P0A734|P0A734
P18775|P69853
P69428|P69428
P69425|P69425
P69428|P69425
P69423|P69428
P69425|P69423
P69423|P18775
P69425|P18775
P69853|P69425
P69423|P69853
P0A9H9|P0AE67
